车型,品牌,价格,税费,级别,车身,能源,厂商,国别,变速箱,排量,驱动,排放,座位数,
帕萨特,大众,288900,288900,中型车,三厢,汽油,合资,德系,7档双离合,2,前轮驱动,国五,5,
CR-V,本田,154800,154800,紧凑型SUV,SUV,汽油,合资,日系,6档手动,1.5,全时四驱,国五,5,
A4L,奥迪,349400,349400,中型车,三厢,汽油,合资,德系,7档双离合,1.4,前轮驱动,国六,5,
哈弗H6,长城,134000,134000,紧凑型SUV,SUV,汽油,自主,国产,7档双离合,1.5,前轮驱动,国五,5,
S级,奔驰,1730000,1730000,豪华型,三厢,汽油,进口,德系,9档手自一体,3,后轮驱动,国六,5,
途胜,现代,239900,239900,紧凑型SUV,SUV,汽油,合资,韩系,7档双离合,1.6,前轮驱动,国五,5,
5系,宝马,659900,659900,中大型车,三厢,汽油,合资,德系,8档手自一体,3,全时四驱,国六,5,
X5,宝马,994900,994900,中大型SUV,SUV,汽油,进口,德系,8档手自一体,3,全时四驱,国六,5,
途锐,大众,835800,835800,中大型SUV,SUV,汽油,进口,德系,8档手自一体,3,全时四驱,国五,5,
科迈罗,雪佛兰,399900,399900,中型跑车,跑车,汽油,进口,美系,8档手自一体,2,后轮驱动,国五,5,
EQB260,奔驰,351800,351800,中大型SUV,SUV,新能源,进口,德系,9档手自一体,1.9,前轮驱动,国五,5,
